date,quantity,price,inflated,Caldas_mean_precip,Caldas_mean_temp,Caldas_min_temp,Cundinamarca_mean_precip,Cundinamarca_mean_temp,Cundinamarca_min_temp,Narino_mean_precip,Narino_mean_temp,Narino_min_temp,Cauca_mean_precip,Cauca_mean_temp,Cauca_min_temp,Risaralda_mean_precip,Risaralda_mean_temp,Risaralda_min_temp,Antioquia_mean_precip,Antioquia_mean_temp,Antioquia_min_temp,Huila_mean_precip,Huila_mean_temp,Huila_min_temp,Magdalena_mean_precip,Magdalena_mean_temp,Magdalena_min_temp,Quindio_mean_precip,Quindio_mean_temp,Quindio_min_temp,Tolima_mean_precip,Tolima_mean_temp,Tolima_min_temp,Valle_mean_precip,Valle_mean_temp,Valle_min_temp,Cesar_mean_precip,Cesar_mean_temp,Cesar_min_temp,Santander_mean_precip,Santander_mean_temp,Santander_min_temp
1960-01-01,782.0,45.68,387.51918108108106,0.04,72.5,53.446162233834734,0.28,58.25,30.875838013595907,0.07265547719631318,65.70909663903706,45.765823321895546,0.6522876255708941,80.38632774730965,69.8772848655926,0.20943560548980866,76.02991524995788,55.83470398504337,0.0922173817101761,52.48430670742982,40.492443315078155,0.07235968921510513,83.5915487474391,60.044577440684066,0.09378689297231618,82.91729286472581,63.96198864143692,0.0782018606804,72.59142645785779,49.81108116450626,-0.1944375270906426,83.61098136002725,62.826583347668915,-0.05443185937371711,83.3947280327472,72.39931725419625,0.11967325002233208,85.57463931677073,74.16619042945139,0.11173162609972141,69.10567290995974,59.95637034474113
1960-02-01,449.0,45.95000000000001,389.8096841216216,0.04,72.21052631578948,54.30006472210022,0.08285714285714285,58.89473684210525,31.438934089051358,0.015172413793103447,65.14803890073902,50.53342938176982,0.6375884310141503,80.02075651303788,68.53703762451714,0.2524207034199666,75.81442721060219,57.186034243473024,0.11722859051543218,53.05449688137758,39.26560824617685,0.13934378524946972,83.75981431614612,59.21267816021675,0.1901232780946684,83.52864048158455,64.85496763626429,0.1930300295397168,72.94820938057946,50.37641793609957,-0.04694603146488163,84.83349490008004,64.63580938358002,0.0214869690856984,83.59227483926573,72.19970910707366,-0.1609107417106851,86.84985744385278,76.05610050697877,0.16776046364158062,69.50441486495663,60.65936721815279
1960-03-01,266.0,45.1,382.5988412162162,0.1431578947368421,71.875,54.74192491534227,0.12454545454545453,58.34782608695652,34.19907581091391,0.012903225806451613,66.16537819382766,52.32818668750766,0.5421906292425427,80.77574188451142,68.92072145378562,0.25420679514648215,75.98169545718912,57.57678048766777,0.12153874205719911,53.13056298484162,40.79564800553191,0.12185342600284609,83.64495814215125,60.83988184265171,0.2246631403928715,84.59148959101171,67.60315551367276,0.18862036946151706,73.13415744667839,51.55055654262793,-0.11713219913257095,86.10647926742945,66.36879596920866,0.06122616060173962,83.15418797957416,73.55784796784039,-0.17834995649611213,87.56745545445827,76.98274549276321,0.1540438188749358,69.71310625153845,61.178475220019564
1960-04-01,264.0,45.20000000000001,383.4471756756757,0.5249999999999999,72.6875,55.906027371879546,0.11375,59.6875,38.08144337700208,0.008,65.99924498277994,51.98981361285353,0.6625111898766294,80.38943860130102,69.38569475565117,0.2908527725906162,74.91539813438654,56.56275471310728,0.11966024984757578,53.548093874106904,42.02420640651543,0.3297008645711564,82.71290617273793,60.145080090588365,0.14101781766418173,85.02384277856463,68.67074854776969,0.2807262662714154,72.23413197311827,50.677147135211435,0.3681346889086508,82.78997090323172,67.9125028608893,0.20418596060339694,82.33077049456038,71.2048027171582,-0.09532067712463307,87.13167107446368,78.06256649188545,0.20330803864911212,69.02461722631459,61.30037786355477
1960-05-01,602.0,44.73,379.46000371621614,0.19100000000000006,72.18181818181819,55.32654814562353,0.276554642261837,59.45833333333334,38.36706742228068,0.016774193548387096,66.41373516018626,54.06914999246761,0.7377604411568133,81.67134480919225,69.69768138873201,0.2884891757793786,74.66674524460679,56.477699876116844,0.09461458641876193,52.99391448467134,40.49056925355336,0.023552273668078674,83.86189019544314,60.13929509792215,0.2802217976267265,85.24292181110856,69.50073107751807,0.19873554655863232,72.48202363344286,51.595337707934185,0.09093307683436505,81.43483030930344,67.87537928848845,0.1953585744851497,81.78254047513958,70.8610522066766,0.04262063470125306,85.7524025914572,78.7425790562828,0.1505321174577112,69.16047662594069,60.61440242314221
1960-06-01,881.0,44.38,376.4908331081081,0.219375,72.56521739130434,55.22101290709284,0.065,59.07142857142857,37.482742122926915,0.0013333333333333333,67.15993752915645,49.973867755202285,0.8922089966725123,81.52325331695329,70.71455444784407,0.2633465963577446,74.56590074444011,54.37265356787178,0.04557195317356937,52.33930515243138,39.510028939924055,-0.020179073463703567,83.46108114579889,59.532894314138844,0.31550084334800366,85.25961330406189,69.82690461762469,0.0987569209183238,72.49506999265371,50.69139942541038,0.14287700780707202,79.89863281068558,66.65766277664414,0.25226260201857864,82.14293453434908,70.34215063302476,0.01606705017058692,86.18811093151619,77.76944954977353,0.12010704978610698,69.07304058930279,60.90925600617518
1960-07-01,820.0,44.54999999999999,377.9330016891892,0.08,73.75,54.81634703696749,0.18333333333333332,58.0,37.34479241292783,0.028064516129032255,68.07408056604298,49.62415366938881,0.7835837691725676,81.5293931447613,67.90138280098722,0.19651334229621464,75.54713455727848,55.556492688671874,0.0355636631891116,50.648217963167404,38.33950941389279,0.36410196306810927,84.6354480073161,58.777932479018034,0.2820419063660526,85.02787656127455,68.5852127900364,0.10527029489316851,73.15509885183964,50.378254671715574,0.04576233381738019,79.92682948855165,65.78391788022331,0.14726406382672266,83.22363136476646,72.33457652260688,-0.12042051295349893,87.10418199638086,78.05378595589178,0.185760652130635,68.97146235479049,60.33085517541653
1960-08-01,557.0,45.15,383.023008445946,0.365,72.6842105263158,53.92997241746839,0.12444444444444445,58.058823529411775,35.82796882530828,0.0012903225806451613,68.57059682687208,48.681690444070796,0.8936669897049606,80.85087820897463,69.8067226350228,0.18703707976730916,75.58068709449266,57.03233453180897,0.03331335787176935,50.885337518087375,37.46678634981644,-0.019751624415031727,86.36385130209318,59.8137667800686,0.2525698708165231,84.17652160038969,68.04398446432077,0.09450035111019732,73.52746914574125,50.81543609105756,0.10422111451783583,80.6074169294982,67.62099498682738,0.19943380144128087,82.37604965173541,70.60925502152091,-0.13682429722932343,86.38573642015142,78.39118649042032,0.13667060984429086,69.66924274506985,59.47468866328728
1960-09-01,342.0,44.85,380.4780050675676,0.2916666666666667,72.125,54.64371100956333,0.16785714285714284,58.0952380952381,34.06565976144817,0.0,68.20215884242329,49.61456371598505,0.7882817593371698,80.75983734770192,70.33079476888409,0.2646469175178244,74.68788315300198,55.7094661272624,0.07906853390880517,51.76234917240169,37.66205785778736,0.016968263301289616,86.25486041358806,61.371085382708166,0.24617201229640187,84.09805674685938,68.5992117535765,0.3579892757772072,72.3785936101844,49.519097398339824,0.18489106051385337,80.62924745024127,66.66621856257207,0.3346586211967059,81.76605878449104,71.55196347918618,-0.09322140922351133,85.09382176359638,77.05645807349508,0.1440503980595243,69.14971598048893,60.72704622565551
1960-10-01,357.0,44.9,380.9021722972973,0.2880000000000001,71.85714285714286,54.977472488388756,0.20000000000000004,58.33333333333334,35.54762008789009,0.014193548387096775,66.0627433291435,51.36179004620659,0.9768892743010331,80.47750740758737,69.37766617944213,0.3110338093547151,74.0890789634372,54.33431271438737,0.07325488859813041,53.279235595077395,39.83059457774042,0.20180469389886746,83.98918360115601,61.02278037401851,0.20746257526952025,83.82564812507988,69.23445767968367,0.3776758428415366,71.55415811014781,50.28132707754603,0.09795246151433001,82.4584075260026,67.51037690147358,0.36791603340787615,80.79992466209744,70.32531015464136,-0.022844433606353458,84.09747623622815,76.53276972943092,0.20602071538371128,68.6718334603437,60.084167038672355
