date,region,mean_precip,mean_temp,min_temp,max_temp,price,quantity,inflated
1981-01-01,Cesar,0.0058823529411764705,86.08823529411765,70.0,,129.98,1732.0,359.0636728272827
1981-01-01,Cundinamarca,0.020847457627118645,54.559322033898304,31.0,72.0,129.98,1732.0,359.0636728272827
1981-01-01,Huila,0.0956,83.90384615384616,66.0,100.0,129.98,1732.0,359.0636728272827
1981-01-01,Magdalena,0.0,83.07407407407408,68.0,97.0,129.98,1732.0,359.0636728272827
1981-01-01,Narino,0.06338983050847459,67.375,32.0,80.0,129.98,1732.0,359.0636728272827
1981-01-01,Quindio,0.1322222222222222,74.08333333333333,55.0,,129.98,1732.0,359.0636728272827
1981-01-01,Risaralda,0.07135135135135134,72.62162162162163,59.0,,129.98,1732.0,359.0636728272827
1981-01-01,Santander,0.11297872340425531,70.61538461538461,54.0,81.0,129.98,1732.0,359.0636728272827
1981-01-01,Tolima,0.09354838709677421,76.53125,64.0,,129.98,1732.0,359.0636728272827
1981-01-01,Valle,0.08745762711864408,75.2542372881356,61.0,90.0,129.98,1732.0,359.0636728272827
1981-02-01,,,,,,127.11,1009.0,351.1354320132013
1981-02-02,Cauca,0.7907692307692309,79.61538461538461,73.0,,,,
1981-02-02,Cesar,0.0,87.29411764705883,72.0,,,,
1981-02-02,Cundinamarca,0.015483870967741935,55.903225806451616,37.0,72.0,,,
1981-02-02,Huila,0.1870833333333333,84.25,68.0,99.0,,,
1981-02-02,Magdalena,0.0,86.66666666666667,73.0,97.0,,,
1981-02-02,Narino,0.1496774193548387,66.71428571428571,32.0,82.0,,,
1981-02-02,Quindio,0.41111111111111115,73.5,59.0,,,,
1981-02-02,Risaralda,0.13952380952380955,72.23809523809524,61.0,,,,
1981-02-02,Santander,0.10285714285714286,71.80645161290323,64.0,82.0,,,
1981-02-02,Tolima,0.38769230769230767,76.64285714285714,63.0,,,,
1981-02-02,Valle,0.17838709677419357,75.35483870967742,32.0,91.0,,,
1981-03-01,,,,,,127.93,954.0,353.4006436743674
1981-04-01,Cauca,0.9342857142857142,78.71428571428571,73.0,,130.2,1174.0,359.6714125412541
1981-04-01,Cesar,0.14636363636363636,84.63636363636364,73.0,,130.2,1174.0,359.6714125412541
1981-04-01,Cundinamarca,0.23300000000000004,56.93333333333333,38.0,71.0,130.2,1174.0,359.6714125412541
1981-04-01,Huila,0.09833333333333334,81.91666666666667,68.0,97.0,130.2,1174.0,359.6714125412541
1981-04-01,Magdalena,0.058333333333333334,84.27272727272727,68.0,97.0,130.2,1174.0,359.6714125412541
1981-04-01,Narino,0.24433333333333335,67.4375,54.0,80.0,130.2,1174.0,359.6714125412541
1981-04-01,Quindio,0.3435714285714286,72.57142857142857,61.0,,130.2,1174.0,359.6714125412541
1981-04-01,Risaralda,0.272,71.42857142857143,59.0,,130.2,1174.0,359.6714125412541
