year,origin,export_val,import_val,dest
1997,colombia,8812.0,0.0,China
1997,colombia,3289305.0,0.0,China
1998,colombia,3650000.0,0.0,China
1999,colombia,57690.0,1056.0,China
1999,colombia,1573706.0,0.0,China
2000,colombia,100140.0,0.0,China
2000,colombia,121815.0,0.0,China
2001,colombia,47555.0,0.0,China
2001,colombia,167462.0,0.0,China
2002,colombia,10133.0,0.0,China
2002,colombia,261578.0,0.0,China
2003,colombia,210143.0,0.0,China
2003,colombia,427078.0,0.0,China
2004,colombia,87349.0,0.0,China
2004,colombia,544147.0,0.0,China
2005,colombia,140982.0,0.0,China
2005,colombia,1116533.0,0.0,China
2006,colombia,184143.0,0.0,China
2006,colombia,1436201.0,0.0,China
2007,colombia,143912.0,0.0,China
2007,colombia,1341584.0,0.0,China
2008,colombia,81499.0,0.0,China
2008,colombia,1558767.0,0.0,China
2009,colombia,629434.0,0.0,China
2009,colombia,716334.0,0.0,China
2010,colombia,1564784.0,0.0,China
2010,colombia,1111906.0,0.0,China
2011,colombia,1376957.0,53306.0,China
2011,colombia,2150037.0,0.0,China
2012,colombia,1333176.0,0.0,China
2012,colombia,4638381.0,0.0,China
2013,colombia,1149948.0,28870.0,China
2013,colombia,3964632.0,0.0,China
2014,colombia,772917.0,16520.0,China
2014,colombia,6008709.0,0.0,China
2015,colombia,1314189.0,0.0,China
2015,colombia,8005971.0,0.0,China
2016,colombia,1927261.0,3362.0,China
2016,colombia,5678514.0,0.0,China
2017,colombia,9231609.0,0.0,China
1962,colombia,70000.0,0.0,Israel
1963,colombia,31000.0,0.0,Israel
1964,colombia,30000.0,0.0,Israel
1965,colombia,104000.0,0.0,Israel
1966,colombia,212000.0,0.0,Israel
1967,colombia,272000.0,0.0,Israel
1968,colombia,307000.0,0.0,Israel
1969,colombia,316000.0,0.0,Israel
1970,colombia,337000.0,0.0,Israel
1971,colombia,342000.0,0.0,Israel
1972,colombia,437000.0,0.0,Israel
1973,colombia,472000.0,0.0,Israel
1974,colombia,414000.0,0.0,Israel
1975,colombia,381000.0,0.0,Israel
1976,colombia,21000.0,0.0,Israel
1976,colombia,478000.0,0.0,Israel
1977,colombia,939000.0,0.0,Israel
1978,colombia,20000.0,0.0,Israel
1978,colombia,994000.0,0.0,Israel
1979,colombia,19000.0,0.0,Israel
1979,colombia,2418000.0,0.0,Israel
1980,colombia,234000.0,0.0,Israel
1980,colombia,2646000.0,0.0,Israel
1981,colombia,159000.0,0.0,Israel
1981,colombia,2694000.0,0.0,Israel
1982,colombia,189000.0,0.0,Israel
1982,colombia,1186000.0,0.0,Israel
1983,colombia,93000.0,0.0,Israel
1984,colombia,123793.0,0.0,Israel
1985,colombia,248544.0,0.0,Israel
1986,colombia,145554.0,0.0,Israel
1987,colombia,719171.0,0.0,Israel
1988,colombia,46992.0,0.0,Israel
1989,colombia,58991.0,0.0,Israel
1990,colombia,43160.0,0.0,Israel
1990,colombia,173061.0,0.0,Israel
1991,colombia,828418.0,0.0,Israel
1992,colombia,46551.0,0.0,Israel
1992,colombia,1230814.0,0.0,Israel
1993,colombia,130361.0,0.0,Israel
1993,colombia,1199762.0,0.0,Israel
1994,colombia,1725646.0,0.0,Israel
1995,colombia,284301.0,0.0,Israel
1995,colombia,3149770.0,0.0,Israel
1996,colombia,274284.0,0.0,Israel
1996,colombia,1935054.0,0.0,Israel
1997,colombia,1352847.0,0.0,Israel
1997,colombia,3169384.0,0.0,Israel
1998,colombia,1491000.0,0.0,Israel
