Volumen de las exportaciones colombianas de café - mensual,
Unidad: Miles de sacos de 60 Kg de café verde equivalente ,
Información definitiva,
Fuente: Federación Nacional de Cafeteros,
Volver,
,
month,export_by
Jul-89,642
Aug-89,"1,039"
Sep-89,"1,115"
Oct-89,960
Nov-89,"1,201"
Dec-89,905
Jan-90,"1,273"
Feb-90,"1,254"
Mar-90,"1,329"
Apr-90,"1,513"
May-90,"1,159"
Jun-90,"1,384"
Jul-90,"1,033"
Aug-90,"1,006"
Sep-90,723
Oct-90,785
Nov-90,"1,263"
Dec-90,"1,222"
Jan-91,"1,057"
Feb-91,"1,004"
Mar-91,676
Apr-91,"1,204"
May-91,953
Jun-91,"1,189"
Jul-91,847
Aug-91,"1,029"
Sep-91,983
Oct-91,876
Nov-91,"1,609"
Dec-91,"1,168"
Jan-92,"1,141"
Feb-92,"1,263"
Mar-92,"1,059"
Apr-92,"1,404"
May-92,"1,480"
Jun-92,"1,689"
Jul-92,"1,300"
Aug-92,"1,322"
Sep-92,"1,158"
Oct-92,"1,390"
Nov-92,"1,626"
Dec-92,"1,737"
Jan-93,"1,183"
Feb-93,"1,375"
Mar-93,"1,190"
Apr-93,"1,192"
May-93,"1,183"
Jun-93,"1,011"
Jul-93,906
Aug-93,836
Sep-93,906
Oct-93,"1,021"
Nov-93,"1,343"
Dec-93,"1,428"
Jan-94,880
Feb-94,863
Mar-94,845
Apr-94,990
May-94,"1,041"
Jun-94,"1,180"
Jul-94,"1,195"
Aug-94,"1,024"
Sep-94,881
Oct-94,970
Nov-94,"1,020"
Dec-94,886
Jan-95,773
Feb-95,793
Mar-95,671
Apr-95,605
May-95,831
Jun-95,683
Jul-95,578
Aug-95,823
Sep-95,710
Oct-95,"1,046"
Nov-95,"1,104"
Dec-95,"1,198"
Jan-96,784
Feb-96,814
Mar-96,911
Apr-96,855
May-96,853
Jun-96,906
Jul-96,894
Aug-96,755
Sep-96,684
Oct-96,"1,025"
Nov-96,"1,239"
Dec-96,901
Jan-97,980
Feb-97,"1,092"
Mar-97,728
Apr-97,826
May-97,"1,130"
Jun-97,919
Jul-97,800
Aug-97,629
Sep-97,931
Oct-97,742
Nov-97,854
Dec-97,"1,301"
Jan-98,906
Feb-98,693
Mar-98,787
Apr-98,897
May-98,"1,018"
Jun-98,"1,030"
Jul-98,"1,008"
Aug-98,797
Sep-98,880
Oct-98,"1,017"
Nov-98,"1,016"
Dec-98,"1,211"
Jan-99,824
Feb-99,882
Mar-99,689
Apr-99,948
May-99,761
Jun-99,809
Jul-99,650
Aug-99,790
Sep-99,695
Oct-99,861
Nov-99,"1,009"
Dec-99,"1,077"
Jan-00,517
Feb-00,642
Mar-00,404
Apr-00,731
May-00,615
Jun-00,869
Jul-00,721
Aug-00,938
Sep-00,674
Oct-00,831
Nov-00,"1,200"
Dec-00,"1,064"
Jan-01,651
Feb-01,838
Mar-01,610
Apr-01,748
May-01,744
Jun-01,747
Jul-01,662
Aug-01,658
Sep-01,721
Oct-01,"1,127"
Nov-01,"1,254"
Dec-01,"1,217"
Jan-02,712
Feb-02,874
Mar-02,787
Apr-02,757
May-02,838
Jun-02,816
Jul-02,707
Aug-02,814
Sep-02,726
Oct-02,830
Nov-02,"1,144"
Dec-02,"1,268"
Jan-03,755
Feb-03,894
Mar-03,724
Apr-03,835
May-03,759
Jun-03,914
Jul-03,909
Aug-03,722
Sep-03,746
Oct-03,887
Nov-03,991
Dec-03,"1,154"
Jan-04,897
Feb-04,973
Mar-04,885
Apr-04,806
May-04,789
Jun-04,821
Jul-04,832
Aug-04,735
Sep-04,449
Oct-04,888
Nov-04,954
Dec-04,"1,233"
Jan-05,"1,092"
Feb-05,"1,167"
Mar-05,958
Apr-05,859
May-05,815
Jun-05,839
Jul-05,766
Aug-05,759
Sep-05,701
Oct-05,751
Nov-05,987
Dec-05,"1,177"
Jan-06,827
Feb-06,943
Mar-06,883
Apr-06,623
May-06,874
Jun-06,881
Jul-06,905
Aug-06,938
Sep-06,964
Oct-06,964
Nov-06,929
Dec-06,"1,216"
Jan-07,874
Feb-07,990
Mar-07,906
Apr-07,753
May-07,786
Jun-07,893
Jul-07,947
Aug-07,977
Sep-07,942
Oct-07,844
Nov-07,"1,051"
Dec-07,"1,338"
Jan-08,"1,029"
Feb-08,"1,194"
Mar-08,904
Apr-08,914
May-08,864
Jun-08,946
Jul-08,892
Aug-08,642
Sep-08,939
Oct-08,839
Nov-08,915
Dec-08,"1,007"
Jan-09,868
Feb-09,943
Mar-09,817
Apr-09,550
May-09,552
Jun-09,642
Jul-09,608
Aug-09,474
Sep-09,501
Oct-09,535
Nov-09,616
Dec-09,788
Jan-10,541
Feb-10,590
Mar-10,576
Apr-10,588
May-10,576
Jun-10,648
Jul-10,612
Aug-10,599
Sep-10,530
Oct-10,632
Nov-10,827
Dec-10,"1,105"
Jan-11,848
Feb-11,651
Mar-11,924
Apr-11,580
May-11,593
Jun-11,576
Jul-11,474
Aug-11,384
Sep-11,471
Oct-11,603
Nov-11,774
Dec-11,857
Jan-12,542
Feb-12,560
Mar-12,604
Apr-12,494
May-12,590
Jun-12,613
Jul-12,552
Aug-12,583
Sep-12,527
Oct-12,582
Nov-12,736
Dec-12,787
Jan-13,743
Feb-13,719
Mar-13,677
Apr-13,686
May-13,855
Jun-13,673
Jul-13,786
Aug-13,931
Sep-13,674
Oct-13,877
Nov-13,"1,050"
Dec-13,"1,002"
Jan-14,968
Feb-14,989
Mar-14,928
Apr-14,822
May-14,836
Jun-14,761
Jul-14,900
Aug-14,881
Sep-14,826
Oct-14,970
Nov-14,"1,019"
Dec-14,"1,056"
Jan-15,"1,058"
Feb-15,"1,057"
Mar-15,786
Apr-15,957
May-15,"1,005"
Jun-15,"1,006"
Jul-15,"1,201"
Aug-15,"1,078"
Sep-15,"1,086"
Oct-15,"1,173"
Nov-15,"1,111"
Dec-15,"1,196"
Jan-16,"1,098"
Feb-16,"1,113"
Mar-16,"1,092"
Apr-16,931
May-16,891
Jun-16,935
Jul-16,489
Aug-16,"1,273"
Sep-16,"1,012"
Oct-16,"1,230"
Nov-16,"1,330"
Dec-16,"1,450"
Jan-17,"1,138"
Feb-17,"1,182"
Mar-17,"1,160"
Apr-17,898
May-17,834
Jun-17,947
Jul-17,"1,001"
Aug-17,"1,204"
Sep-17,"1,112"
Oct-17,"1,123"
Nov-17,"1,161"
Dec-17,"1,222"
Jan-18,"1,053"
Feb-18,"1,098"
Mar-18,"1,036"
Apr-18,925
May-18,951
Jun-18,915
Jul-18,"1,076"
Aug-18,"1,025"
Sep-18,"1,098"
Oct-18,"1,058"
Nov-18,"1,233"
Dec-18,"1,283"
Jan-19,"1,166"
Feb-19,"1,246"
Mar-19,"1,141"
Apr-19,872
May-19,"1,028"
Jun-19,"1,110"
Jul-19,"1,123"
Aug-19,"1,220"
Sep-19,"1,009"
Oct-19,"1,211"
Nov-19,"1,162"
