month,price_per_pound
Jan-40,9.07
Feb-40,9.07
Mar-40,8.99
Apr-40,8.55
May-40,7.83
Jun-40,7.99
Jul-40,7.93
Aug-40,7.48
Sep-40,7.51
Oct-40,8.11
Nov-40,8.52
Dec-40,9.46
Jan-41,10.43
Feb-41,11.92
Mar-41,13.47
Apr-41,14.40
May-41,15.28
Jun-41,15.93
Jul-41,15.88
Aug-41,15.88
Sep-41,15.88
Oct-41,15.87
Nov-41,15.97
Dec-41,16.00
Jan-42,15.87
Feb-42,15.87
Mar-42,15.87
Apr-42,15.87
May-42,15.87
Jun-42,15.87
Jul-42,15.87
Aug-42,15.87
Sep-42,15.87
Oct-42,15.87
Nov-42,15.87
Dec-42,15.87
Jan-43,15.87
Feb-43,15.87
Mar-43,15.87
Apr-43,15.87
May-43,15.87
Jun-43,15.87
Jul-43,15.87
Aug-43,15.87
Sep-43,15.87
Oct-43,15.87
Nov-43,15.87
Dec-43,15.87
Jan-44,15.87
Feb-44,15.87
Mar-44,15.87
Apr-44,15.87
May-44,15.87
Jun-44,15.87
Jul-44,15.87
Aug-44,15.87
Sep-44,15.87
Oct-44,15.87
Nov-44,15.87
Dec-44,15.87
Jan-45,15.87
Feb-45,15.87
Mar-45,15.87
Apr-45,15.87
May-45,15.87
Jun-45,15.87
Jul-45,15.87
Aug-45,15.87
Sep-45,15.87
Oct-45,15.87
Nov-45,17.07
Dec-45,18.87
Jan-46,18.87
Feb-46,18.87
Mar-46,18.87
Apr-46,18.87
May-46,18.87
Jun-46,19.05
Jul-46,20.87
Aug-46,22.82
Sep-46,24.12
Oct-46,27.52
Nov-46,30.90
Dec-46,30.37
Jan-47,30.50
Feb-47,30.69
Mar-47,30.67
Apr-47,28.29
May-47,26.49
Jun-47,27.76
Jul-47,27.97
Aug-47,30.29
Sep-47,31.06
Oct-47,32.03
Nov-47,32.86
Dec-47,32.69
Jan-48,32.51
Feb-48,31.05
Mar-48,31.25
Apr-48,31.75
May-48,31.75
Jun-48,31.35
Jul-48,31.43
Aug-48,32.02
Sep-48,32.62
Oct-48,34.38
Nov-48,36.90
Dec-48,34.03
Jan-49,33.04
Feb-49,32.33
Mar-49,32.27
Apr-49,31.40
May-49,32.48
Jun-49,32.92
Jul-49,33.64
Aug-49,34.09
Sep-49,35.81
Oct-49,41.51
Nov-49,56.66
Dec-49,55.17
Jan-50,53.90
Feb-50,50.75
Mar-50,49.13
Apr-50,49.55
May-50,48.25
Jun-50,51.90
Jul-50,54.50
Aug-50,56.85
Sep-50,59.20
Oct-50,53.95
Nov-50,54.20
Dec-50,56.78
Jan-51,59.40
Feb-51,60.20
Mar-51,59.40
Apr-51,59.10
May-51,59.41
Jun-51,57.96
Jul-51,57.18
Aug-51,57.65
Sep-51,58.11
Oct-51,59.06
Nov-51,59.25
Dec-51,58.18
Jan-52,58.35
Feb-52,57.75
Mar-52,57.30
Apr-52,55.33
May-52,56.42
Jun-52,56.23
Jul-52,56.75
Aug-52,57.46
Sep-52,58.29
Oct-52,57.44
Nov-52,56.88
Dec-52,55.97
Jan-53,55.68
Feb-53,56.30
Mar-53,59.10
Apr-53,55.88
May-53,55.65
Jun-53,56.15
Jul-53,58.75
Aug-53,61.15
Sep-53,63.92
Oct-53,63.40
Nov-53,65.40
Dec-53,66.43
Jan-54,71.80
Feb-54,77.65
Mar-54,91.40
Apr-54,91.10
May-54,85.10
Jun-54,84.73
Jul-54,83.94
Aug-54,80.05
Sep-54,74.37
Oct-54,71.50
Nov-54,75.95
Dec-54,72.70
Jan-55,70.85
Feb-55,60.50
Mar-55,59.27
Apr-55,61.47
May-55,59.00
Jun-55,62.45
Jul-55,61.56
Aug-55,64.27
Sep-55,72.03
Oct-55,70.97
Nov-55,68.21
Dec-55,64.30
Jan-56,66.00
Feb-56,73.05
Mar-56,70.75
Apr-56,67.45
May-56,70.80
Jun-56,76.65
Jul-56,78.15
Aug-56,80.45
Sep-56,81.08
Oct-56,78.28
Nov-56,74.70
Dec-56,70.30
Jan-57,72.40
Feb-57,70.64
Mar-57,68.14
Apr-57,65.45
May-57,66.33
Jun-57,67.13
Jul-57,63.50
Aug-57,63.20
Sep-57,58.85
Oct-57,56.00
Nov-57,57.40
Dec-57,58.20
Jan-58,56.80
Feb-58,53.65
Mar-58,54.18
Apr-58,54.70
May-58,54.38
Jun-58,53.85
Jul-58,52.93
Aug-58,51.65
Sep-58,50.25
Oct-58,50.88
Nov-58,48.73
Dec-58,46.08
Jan-59,46.68
Feb-59,46.23
Mar-59,45.08
Apr-59,45.55
May-59,44.83
Jun-59,44.30
Jul-59,44.80
Aug-59,45.13
Sep-59,45.83
Oct-59,45.03
Nov-59,45.18
Dec-59,43.95
Jan-60,45.68
Feb-60,45.95
Mar-60,45.10
Apr-60,45.20
May-60,44.73
Jun-60,44.38
Jul-60,44.55
Aug-60,45.15
Sep-60,44.85
Oct-60,44.90
Nov-60,44.35
Dec-60,43.85
Jan-61,44.48
Feb-61,44.58
Mar-61,44.30
Apr-61,43.90
May-61,43.50
Jun-61,43.33
Jul-61,43.50
Aug-61,43.53
Sep-61,43.33
Oct-61,43.15
Nov-61,43.05
Dec-61,42.80
Jan-62,42.80
Feb-62,42.78
Mar-62,42.05
Apr-62,41.40
May-62,40.45
Jun-62,39.50
Jul-62,39.88
Aug-62,40.15
Sep-62,40.45
Oct-62,39.78
Nov-62,39.85
Dec-62,40.10
Jan-63,40.50
Feb-63,39.43
Mar-63,39.78
Apr-63,39.65
May-63,39.15
Jun-63,39.25
Jul-63,39.58
Aug-63,39.50
Sep-63,39.38
Oct-63,39.48
Nov-63,39.60
Dec-63,39.28
Jan-64,45.00
Feb-64,45.70
Mar-64,49.95
Apr-64,48.55
May-64,49.28
Jun-64,48.60
Jul-64,49.33
Aug-64,50.58
Sep-64,50.05
Oct-64,50.08
Nov-64,49.90
Dec-64,48.60
Jan-65,48.88
Feb-65,49.68
Mar-65,46.11
Apr-65,46.25
May-65,45.56
Jun-65,46.46
Jul-65,46.52
Aug-65,47.39
Sep-65,47.29
Oct-65,47.85
Nov-65,48.54
Dec-65,48.80
Jan-66,47.93
Feb-66,46.13
Mar-66,45.27
Apr-66,45.27
May-66,44.92
Jun-66,43.87
Jul-66,43.59
Aug-66,43.62
Sep-66,42.78
Oct-66,42.27
Nov-66,42.24
Dec-66,41.59
Jan-67,40.56
Feb-67,40.29
Mar-67,39.37
Apr-67,40.59
May-67,42.33
Jun-67,43.24
Jul-67,42.94
Aug-67,41.00
Sep-67,41.04
Oct-67,40.43
Nov-67,41.31
Dec-67,40.61
Jan-68,41.28
Feb-68,41.42
Mar-68,42.01
Apr-68,42.19
May-68,41.99
Jun-68,42.28
Jul-68,41.98
Aug-68,41.29
Sep-68,40.73
Oct-68,40.76
Nov-68,40.49
Dec-68,39.50
Jan-69,39.58
Feb-69,40.19
Mar-69,39.62
Apr-69,38.90
May-69,38.71
Jun-69,38.06
Jul-69,37.27
Aug-69,38.86
Sep-69,42.94
Oct-69,49.18
Nov-69,48.48
Dec-69,49.53
Jan-70,53.57
Feb-70,53.95
Mar-70,55.12
Apr-70,56.56
May-70,57.20
Jun-70,56.71
Jul-70,56.98
Aug-70,55.65
Sep-70,54.63
Oct-70,52.79
Nov-70,48.62
Dec-70,46.34
Jan-71,47.50
