,month/year,thousands_of_60kg_bags_production
242,1976-03-01,627.0
243,1976-04-01,585.0
244,1976-05-01,459.0
245,1976-06-01,580.0
246,1976-07-01,387.0
247,1976-08-01,334.0
248,1976-09-01,350.0
249,1976-10-01,667.0
250,1976-11-01,757.0
251,1976-12-01,781.0
252,1977-01-01,634.0
253,1977-02-01,455.0
254,1977-03-01,565.0
255,1977-04-01,560.0
256,1977-05-01,367.0
257,1977-06-01,1363.0
258,1977-07-01,1577.0
259,1977-08-01,752.0
260,1977-09-01,558.0
261,1977-10-01,1247.0
262,1977-11-01,1009.0
263,1977-12-01,1570.0
264,1978-01-01,974.0
265,1978-02-01,1053.0
266,1978-03-01,492.0
267,1978-04-01,752.0
268,1978-05-01,1105.0
269,1978-06-01,718.0
270,1978-07-01,613.0
271,1978-08-01,280.0
272,1978-09-01,678.0
273,1978-10-01,1386.0
274,1978-11-01,2026.0
275,1978-12-01,1310.0
276,1979-01-01,1251.0
277,1979-02-01,767.0
278,1979-03-01,340.0
279,1979-04-01,696.0
280,1979-05-01,761.0
281,1979-06-01,1024.0
282,1979-07-01,807.0
283,1979-08-01,487.0
284,1979-09-01,713.0
285,1979-10-01,1606.0
286,1979-11-01,2028.0
287,1979-12-01,1409.0
288,1980-01-01,1318.0
289,1980-02-01,697.0
290,1980-03-01,697.0
291,1980-04-01,1244.0
292,1980-05-01,884.0
293,1980-06-01,637.0
294,1980-07-01,656.0
295,1980-08-01,406.0
296,1980-09-01,966.0
297,1980-10-01,1276.0
298,1980-11-01,1558.0
299,1980-12-01,1734.0
300,1981-01-01,1732.0
301,1981-02-01,1009.0
302,1981-03-01,954.0
303,1981-04-01,1174.0
304,1981-05-01,1000.0
305,1981-06-01,795.0
306,1981-07-01,799.0
307,1981-08-01,263.0
308,1981-09-01,743.0
309,1981-10-01,1417.0
310,1981-11-01,1919.0
311,1981-12-01,1665.0
312,1982-01-01,1332.0
313,1982-02-01,1066.0
314,1982-03-01,817.0
315,1982-04-01,741.0
316,1982-05-01,817.0
317,1982-06-01,998.0
318,1982-07-01,796.0
319,1982-08-01,404.0
320,1982-09-01,921.0
321,1982-10-01,1326.0
322,1982-11-01,1694.0
323,1982-12-01,1214.0
324,1983-01-01,901.0
325,1983-02-01,767.0
326,1983-03-01,609.0
327,1983-04-01,1138.0
328,1983-05-01,1713.0
329,1983-06-01,1196.0
330,1983-07-01,1147.0
331,1983-08-01,581.0
332,1983-09-01,524.0
333,1983-10-01,1515.0
334,1983-11-01,2194.0
335,1983-12-01,1461.0
336,1984-01-01,1342.0
337,1984-02-01,782.0
338,1984-03-01,547.0
339,1984-04-01,790.0
340,1984-05-01,1070.0
341,1984-06-01,1022.0
342,1984-07-01,958.0
343,1984-08-01,874.0
344,1984-09-01,909.0
345,1984-10-01,793.0
346,1984-11-01,1134.0
347,1984-12-01,1341.0
348,1985-01-01,1437.0
349,1985-02-01,1080.0
350,1985-03-01,450.0
351,1985-04-01,905.0
352,1985-05-01,845.0
353,1985-06-01,963.0
354,1985-07-01,820.0
355,1985-08-01,460.0
356,1985-09-01,490.0
357,1985-10-01,1098.0
358,1985-11-01,1360.0
359,1985-12-01,1352.0
360,1986-01-01,1160.0
361,1986-02-01,1340.0
362,1986-03-01,867.0
363,1986-04-01,717.0
364,1986-05-01,1040.0
365,1986-06-01,914.0
366,1986-07-01,962.0
367,1986-08-01,521.0
368,1986-09-01,561.0
369,1986-10-01,635.0
370,1986-11-01,800.0
371,1986-12-01,1195.0
372,1987-01-01,1139.0
373,1987-02-01,854.0
374,1987-03-01,848.0
375,1987-04-01,961.0
376,1987-05-01,1202.0
377,1987-06-01,1017.0
378,1987-07-01,990.0
379,1987-08-01,470.0
380,1987-09-01,749.0
381,1987-10-01,1039.0
382,1987-11-01,1864.0
383,1987-12-01,1841.0
384,1988-01-01,1013.0
385,1988-02-01,1888.0
386,1988-03-01,909.0
387,1988-04-01,940.0
388,1988-05-01,767.0
389,1988-06-01,1048.0
390,1988-07-01,315.0
391,1988-08-01,736.0
392,1988-09-01,313.0
393,1988-10-01,964.0
394,1988-11-01,1472.0
395,1988-12-01,1446.0
396,1989-01-01,1421.0
397,1989-02-01,804.0
398,1989-03-01,764.0
399,1989-04-01,931.0
400,1989-05-01,672.0
401,1989-06-01,535.0
402,1989-07-01,419.0
403,1989-08-01,430.0
404,1989-09-01,623.0
405,1989-10-01,975.0
406,1989-11-01,1816.0
407,1989-12-01,1676.0
408,1990-01-01,1521.0
409,1990-02-01,891.0
410,1990-03-01,921.0
411,1990-04-01,1180.0
412,1990-05-01,1047.0
413,1990-06-01,1057.0
414,1990-07-01,606.0
415,1990-08-01,486.0
416,1990-09-01,872.0
417,1990-10-01,1483.0
418,1990-11-01,2145.0
419,1990-12-01,1874.0
420,1991-01-01,1212.0
421,1991-02-01,777.0
422,1991-03-01,494.0
423,1991-04-01,1637.0
424,1991-05-01,1704.0
425,1991-06-01,1549.0
426,1991-07-01,760.0
427,1991-08-01,491.0
428,1991-09-01,270.0
429,1991-10-01,2259.0
430,1991-11-01,2755.0
431,1991-12-01,2271.0
432,1992-01-01,1785.0
433,1992-02-01,1406.0
434,1992-03-01,593.0
435,1992-04-01,1096.0
436,1992-05-01,1960.0
437,1992-06-01,1387.0
438,1992-07-01,1114.0
439,1992-08-01,680.0
440,1992-09-01,674.0
441,1992-10-01,1443.0
442,1992-11-01,2029.0
443,1992-12-01,1927.0
444,1993-01-01,1587.0
445,1993-02-01,1250.0
446,1993-03-01,326.0
447,1993-04-01,1487.0
448,1993-05-01,1377.0
449,1993-06-01,1200.0
450,1993-07-01,1003.0
451,1993-08-01,547.0
452,1993-09-01,771.0
453,1993-10-01,1100.0
454,1993-11-01,1671.0
455,1993-12-01,1318.0
456,1994-01-01,829.0
457,1994-02-01,945.0
458,1994-03-01,840.0
459,1994-04-01,967.0
460,1994-05-01,819.0
461,1994-06-01,941.0
462,1994-07-01,782.0
463,1994-08-01,529.0
464,1994-09-01,681.0
465,1994-10-01,1530.0
466,1994-11-01,1764.0
467,1994-12-01,1404.0
468,1995-01-01,832.0
469,1995-02-01,924.0
470,1995-03-01,456.0
471,1995-04-01,815.0
472,1995-05-01,1114.0
473,1995-06-01,1506.0
474,1995-07-01,1128.0
475,1995-08-01,760.0
476,1995-09-01,731.0
477,1995-10-01,1221.0
478,1995-11-01,2190.0
479,1995-12-01,2020.0
480,1996-01-01,2081.0
481,1996-02-01,323.0
482,1996-03-01,651.0
483,1996-04-01,670.0
484,1996-05-01,745.0
485,1996-06-01,858.0
486,1996-07-01,622.0
487,1996-08-01,620.0
488,1996-09-01,937.0
489,1996-10-01,1333.0
490,1996-11-01,1303.0
491,1996-12-01,1047.0
492,1997-01-01,778.0
493,1997-02-01,676.0
494,1997-03-01,500.0
495,1997-04-01,824.0
496,1997-05-01,836.0
497,1997-06-01,1078.0
498,1997-07-01,946.0
499,1997-08-01,686.0
500,1997-09-01,772.0
501,1997-10-01,1023.0
502,1997-11-01,1271.0
503,1997-12-01,1314.0
504,1998-01-01,828.0
505,1998-02-01,594.0
506,1998-03-01,645.0
507,1998-04-01,1088.0
508,1998-05-01,1300.0
509,1998-06-01,1077.0
510,1998-07-01,1279.0
511,1998-08-01,824.0
512,1998-09-01,879.0
513,1998-10-01,1510.0
514,1998-11-01,1666.0
515,1998-12-01,1093.0
516,1999-01-01,813.0
517,1999-02-01,710.0
518,1999-03-01,670.0
519,1999-04-01,687.0
520,1999-05-01,640.0
521,1999-06-01,740.0
522,1999-07-01,806.0
523,1999-08-01,757.0
524,1999-09-01,776.0
525,1999-10-01,741.0
526,1999-11-01,882.0
527,1999-12-01,890.0
528,2000-01-01,658.0
529,2000-02-01,740.0
530,2000-03-01,592.0
531,2000-04-01,1055.0
532,2000-05-01,1114.0
533,2000-06-01,1092.0
534,2000-07-01,811.0
535,2000-08-01,436.0
536,2000-09-01,501.0
537,2000-10-01,940.0
538,2000-11-01,1366.0
539,2000-12-01,1314.0
540,2001-01-01,1231.0
541,2001-02-01,541.0
542,2001-03-01,482.0
543,2001-04-01,978.0
544,2001-05-01,869.0
545,2001-06-01,718.0
546,2001-07-01,654.0
547,2001-08-01,660.0
548,2001-09-01,766.0
549,2001-10-01,1243.0
550,2001-11-01,1537.0
