month/year,thousands_of_60kg_bags_production
1979-10-01,1606.0
1979-11-01,2028.0
1979-12-01,1409.0
1980-01-01,1318.0
1980-02-01,697.0
1980-03-01,697.0
1980-04-01,1244.0
1980-05-01,884.0
1980-06-01,637.0
1980-07-01,656.0
1980-08-01,406.0
1980-09-01,966.0
1980-10-01,1276.0
1980-11-01,1558.0
1980-12-01,1734.0
1981-01-01,1732.0
1981-02-01,1009.0
1981-03-01,954.0
1981-04-01,1174.0
1981-05-01,1000.0
1981-06-01,795.0
1981-07-01,799.0
1981-08-01,263.0
1981-09-01,743.0
1981-10-01,1417.0
1981-11-01,1919.0
1981-12-01,1665.0
1982-01-01,1332.0
1982-02-01,1066.0
1982-03-01,817.0
1982-04-01,741.0
1982-05-01,817.0
1982-06-01,998.0
1982-07-01,796.0
1982-08-01,404.0
1982-09-01,921.0
1982-10-01,1326.0
1982-11-01,1694.0
1982-12-01,1214.0
1983-01-01,901.0
1983-02-01,767.0
1983-03-01,609.0
1983-04-01,1138.0
1983-05-01,1713.0
1983-06-01,1196.0
1983-07-01,1147.0
1983-08-01,581.0
1983-09-01,524.0
1983-10-01,1515.0
1983-11-01,2194.0
1983-12-01,1461.0
1984-01-01,1342.0
1984-02-01,782.0
1984-03-01,547.0
1984-04-01,790.0
1984-05-01,1070.0
1984-06-01,1022.0
1984-07-01,958.0
1984-08-01,874.0
1984-09-01,909.0
1984-10-01,793.0
1984-11-01,1134.0
1984-12-01,1341.0
1985-01-01,1437.0
1985-02-01,1080.0
1985-03-01,450.0
1985-04-01,905.0
1985-05-01,845.0
1985-06-01,963.0
1985-07-01,820.0
1985-08-01,460.0
1985-09-01,490.0
1985-10-01,1098.0
1985-11-01,1360.0
1985-12-01,1352.0
1986-01-01,1160.0
1986-02-01,1340.0
1986-03-01,867.0
1986-04-01,717.0
1986-05-01,1040.0
1986-06-01,914.0
1986-07-01,962.0
1986-08-01,521.0
1986-09-01,561.0
1986-10-01,635.0
1986-11-01,800.0
1986-12-01,1195.0
1987-01-01,1139.0
1987-02-01,854.0
1987-03-01,848.0
1987-04-01,961.0
1987-05-01,1202.0
1987-06-01,1017.0
1987-07-01,990.0
1987-08-01,470.0
1987-09-01,749.0
1987-10-01,1039.0
1987-11-01,1864.0
1987-12-01,1841.0
1988-01-01,1013.0
1988-02-01,1888.0
1988-03-01,909.0
1988-04-01,940.0
1988-05-01,767.0
1988-06-01,1048.0
1988-07-01,315.0
1988-08-01,736.0
1988-09-01,313.0
1988-10-01,964.0
1988-11-01,1472.0
1988-12-01,1446.0
1989-01-01,1421.0
1989-02-01,804.0
1989-03-01,764.0
1989-04-01,931.0
1989-05-01,672.0
1989-06-01,535.0
1989-07-01,419.0
1989-08-01,430.0
1989-09-01,623.0
1989-10-01,975.0
1989-11-01,1816.0
1989-12-01,1676.0
1990-01-01,1521.0
1990-02-01,891.0
1990-03-01,921.0
1990-04-01,1180.0
1990-05-01,1047.0
1990-06-01,1057.0
1990-07-01,606.0
1990-08-01,486.0
1990-09-01,872.0
1990-10-01,1483.0
1990-11-01,2145.0
1990-12-01,1874.0
1991-01-01,1212.0
1991-02-01,777.0
1991-03-01,494.0
1991-04-01,1637.0
1991-05-01,1704.0
1991-06-01,1549.0
1991-07-01,760.0
1991-08-01,491.0
1991-09-01,270.0
1991-10-01,2259.0
1991-11-01,2755.0
1991-12-01,2271.0
1992-01-01,1785.0
1992-02-01,1406.0
1992-03-01,593.0
1992-04-01,1096.0
1992-05-01,1960.0
1992-06-01,1387.0
1992-07-01,1114.0
1992-08-01,680.0
1992-09-01,674.0
1992-10-01,1443.0
1992-11-01,2029.0
1992-12-01,1927.0
1993-01-01,1587.0
1993-02-01,1250.0
1993-03-01,326.0
1993-04-01,1487.0
1993-05-01,1377.0
1993-06-01,1200.0
1993-07-01,1003.0
1993-08-01,547.0
1993-09-01,771.0
1993-10-01,1100.0
1993-11-01,1671.0
1993-12-01,1318.0
1994-01-01,829.0
1994-02-01,945.0
1994-03-01,840.0
1994-04-01,967.0
1994-05-01,819.0
1994-06-01,941.0
1994-07-01,782.0
1994-08-01,529.0
1994-09-01,681.0
1994-10-01,1530.0
1994-11-01,1764.0
1994-12-01,1404.0
1995-01-01,832.0
1995-02-01,924.0
1995-03-01,456.0
1995-04-01,815.0
1995-05-01,1114.0
1995-06-01,1506.0
1995-07-01,1128.0
1995-08-01,760.0
1995-09-01,731.0
1995-10-01,1221.0
1995-11-01,2190.0
1995-12-01,2020.0
1996-01-01,2081.0
1996-02-01,323.0
1996-03-01,651.0
1996-04-01,670.0
1996-05-01,745.0
1996-06-01,858.0
1996-07-01,622.0
1996-08-01,620.0
1996-09-01,937.0
1996-10-01,1333.0
1996-11-01,1303.0
1996-12-01,1047.0
1997-01-01,778.0
1997-02-01,676.0
1997-03-01,500.0
1997-04-01,824.0
1997-05-01,836.0
1997-06-01,1078.0
1997-07-01,946.0
1997-08-01,686.0
1997-09-01,772.0
1997-10-01,1023.0
1997-11-01,1271.0
1997-12-01,1314.0
1998-01-01,828.0
1998-02-01,594.0
1998-03-01,645.0
1998-04-01,1088.0
1998-05-01,1300.0
1998-06-01,1077.0
1998-07-01,1279.0
1998-08-01,824.0
1998-09-01,879.0
1998-10-01,1510.0
1998-11-01,1666.0
1998-12-01,1093.0
1999-01-01,813.0
1999-02-01,710.0
1999-03-01,670.0
1999-04-01,687.0
1999-05-01,640.0
1999-06-01,740.0
1999-07-01,806.0
1999-08-01,757.0
1999-09-01,776.0
1999-10-01,741.0
1999-11-01,882.0
1999-12-01,890.0
2000-01-01,658.0
2000-02-01,740.0
2000-03-01,592.0
2000-04-01,1055.0
2000-05-01,1114.0
2000-06-01,1092.0
2000-07-01,811.0
2000-08-01,436.0
2000-09-01,501.0
2000-10-01,940.0
2000-11-01,1366.0
2000-12-01,1314.0
2001-01-01,1231.0
2001-02-01,541.0
2001-03-01,482.0
2001-04-01,978.0
2001-05-01,869.0
2001-06-01,718.0
2001-07-01,654.0
2001-08-01,660.0
2001-09-01,766.0
2001-10-01,1243.0
2001-11-01,1537.0
2001-12-01,1257.0
2002-01-01,824.0
2002-02-01,808.0
2002-03-01,778.0
2002-04-01,942.0
2002-05-01,1112.0
2002-06-01,1052.0
2002-07-01,868.0
2002-08-01,751.0
2002-09-01,778.0
2002-10-01,1064.0
2002-11-01,1380.0
2002-12-01,1257.0
2003-01-01,924.0
2003-02-01,788.0
2003-03-01,644.0
2003-04-01,1078.0
2003-05-01,972.0
2003-06-01,1077.0
2003-07-01,1072.0
2003-08-01,661.0
2003-09-01,795.0
2003-10-01,1137.0
2003-11-01,1176.0
2003-12-01,1244.0
2004-01-01,1171.0
2004-02-01,770.0
2004-03-01,811.0
2004-04-01,738.0
2004-05-01,1091.0
2004-06-01,954.0
2004-07-01,774.0
2004-08-01,722.0
2004-09-01,465.0
2004-10-01,1077.0
2004-11-01,1337.0
2004-12-01,1330.0
2005-01-01,1100.0
2005-02-01,1023.0
2005-03-01,726.0
2005-04-01,873.0
2005-05-01,955.0
2005-06-01,948.0
2005-07-01,738.0
2005-08-01,646.0
2005-09-01,676.0
2005-10-01,1131.0
2005-11-01,1237.0
2005-12-01,1066.0
2006-01-01,1102.0
2006-02-01,888.0
2006-03-01,713.0
2006-04-01,778.5
2006-05-01,1087.0
2006-06-01,1174.0
2006-07-01,820.5
2006-08-01,1142.0
2006-09-01,813.0
2006-10-01,1024.0
2006-11-01,1242.0
2006-12-01,1294.0
2007-01-01,963.0
2007-02-01,1001.0
2007-03-01,776.0
2007-04-01,769.0
2007-05-01,994.0
2007-06-01,1219.0
2007-07-01,995.0
2007-08-01,990.0
2007-09-01,897.0
2007-10-01,1129.0
2007-11-01,1522.0
2007-12-01,1363.0
