date,excelso_price_cents_per_pound
1937-03-01,12.72
1937-04-01,11.83
1937-05-01,11.93
1937-06-01,11.95
1937-07-01,11.63
1937-08-01,11.79
1937-09-01,11.57
1937-10-01,11.61
1937-11-01,9.99
1937-12-01,9.08
1938-01-01,9.64
1938-02-01,9.33
1938-03-01,9.3
1938-04-01,9.08
1938-05-01,10.05
1938-06-01,10.32
1938-07-01,10.98
1938-08-01,11.35
1938-09-01,11.68
1938-10-01,12.98
1938-11-01,13.88
1938-12-01,13.1
1939-01-01,12.31
1939-02-01,11.45
1939-03-01,11.04
1939-04-01,11.02
1939-05-01,12.28
1939-06-01,12.53
1939-07-01,12.2
1939-08-01,12.27
1939-09-01,12.34
1939-10-01,12.12
1939-11-01,10.9
1939-12-01,9.43
1940-01-01,9.07
1940-02-01,9.07
1940-03-01,8.99
1940-04-01,8.55
1940-05-01,7.83
1940-06-01,7.99
1940-07-01,7.93
1940-08-01,7.48
1940-09-01,7.51
1940-10-01,8.11
1940-11-01,8.52
1940-12-01,9.46
1941-01-01,10.43
1941-02-01,11.92
1941-03-01,13.47
1941-04-01,14.4
1941-05-01,15.28
1941-06-01,15.93
1941-07-01,15.88
1941-08-01,15.88
1941-09-01,15.88
1941-10-01,15.87
1941-11-01,15.97
1941-12-01,16.0
1942-01-01,15.87
1942-02-01,15.87
1942-03-01,15.87
1942-04-01,15.87
1942-05-01,15.87
1942-06-01,15.87
1942-07-01,15.87
1942-08-01,15.87
1942-09-01,15.87
1942-10-01,15.87
1942-11-01,15.87
1942-12-01,15.87
1943-01-01,15.87
1943-02-01,15.87
1943-03-01,15.87
1943-04-01,15.87
1943-05-01,15.87
1943-06-01,15.87
1943-07-01,15.87
1943-08-01,15.87
1943-09-01,15.87
1943-10-01,15.87
1943-11-01,15.87
1943-12-01,15.87
1944-01-01,15.87
1944-02-01,15.87
1944-03-01,15.87
1944-04-01,15.87
1944-05-01,15.87
1944-06-01,15.87
1944-07-01,15.87
1944-08-01,15.87
1944-09-01,15.87
1944-10-01,15.87
1944-11-01,15.87
1944-12-01,15.87
1945-01-01,15.87
1945-02-01,15.87
1945-03-01,15.87
1945-04-01,15.87
1945-05-01,15.87
1945-06-01,15.87
1945-07-01,15.87
1945-08-01,15.87
1945-09-01,15.87
1945-10-01,15.87
1945-11-01,17.07
1945-12-01,18.87
1946-01-01,18.87
1946-02-01,18.87
1946-03-01,18.87
1946-04-01,18.87
1946-05-01,18.87
1946-06-01,19.05
1946-07-01,20.87
1946-08-01,22.82
1946-09-01,24.12
1946-10-01,27.52
1946-11-01,30.9
1946-12-01,30.37
1947-01-01,30.5
1947-02-01,30.69
1947-03-01,30.67
1947-04-01,28.29
1947-05-01,26.49
1947-06-01,27.76
1947-07-01,27.97
1947-08-01,30.29
1947-09-01,31.06
1947-10-01,32.03
1947-11-01,32.86
1947-12-01,32.69
1948-01-01,32.51
1948-02-01,31.05
1948-03-01,31.25
1948-04-01,31.75
1948-05-01,31.75
1948-06-01,31.35
1948-07-01,31.43
1948-08-01,32.02
1948-09-01,32.62
1948-10-01,34.38
1948-11-01,36.9
1948-12-01,34.03
1949-01-01,33.04
1949-02-01,32.33
1949-03-01,32.27
1949-04-01,31.4
1949-05-01,32.48
1949-06-01,32.92
1949-07-01,33.64
1949-08-01,34.09
1949-09-01,35.81
1949-10-01,41.51
1949-11-01,56.66
1949-12-01,55.17
1950-01-01,53.9
1950-02-01,50.75
1950-03-01,49.13
1950-04-01,49.55
1950-05-01,48.25
1950-06-01,51.9
1950-07-01,54.5
1950-08-01,56.85
1950-09-01,59.2
1950-10-01,53.95
1950-11-01,54.2
1950-12-01,56.78
1951-01-01,59.4
1951-02-01,60.2
1951-03-01,59.4
1951-04-01,59.1
1951-05-01,59.41
1951-06-01,57.96
1951-07-01,57.18
1951-08-01,57.65
1951-09-01,58.11
1951-10-01,59.06
1951-11-01,59.25
1951-12-01,58.18
1952-01-01,58.35
1952-02-01,57.75
1952-03-01,57.3
1952-04-01,55.33
1952-05-01,56.42
1952-06-01,56.23
1952-07-01,56.75
1952-08-01,57.46
