,country_name,year,value
984,   Poland,2016,
985,   Portugal,2016,
986,   Romania,2016,
987,   Slovakia,2016,
988,   Slovenia,2016,
989,   Spain,2016,
990,   Sweden,2016,
991,   United Kingdom,2016,
993,Japan,2016,8026.0
994,Norway,2016,799.0
995,Russian Federation,2016,5233.0
996,Switzerland,2016,2816.0
997,Tunisia,2016,466.0
998,USA,2016,28838.0
1000,   Austria,2017,
1001,   Belgium,2017,
1002,   Belgium/Luxembourg,2017,
1003,   Bulgaria,2017,
1004,   Croatia,2017,
1005,   Cyprus,2017,
1006,   Czech Republic,2017,
1007,   Denmark,2017,
1008,   Estonia,2017,
1009,   Finland,2017,
1010,   France,2017,
1011,   Germany,2017,
1012,   Greece,2017,
1013,   Hungary,2017,
1014,   Ireland,2017,
1015,   Italy,2017,
1016,   Latvia,2017,
1017,   Lithuania,2017,
1018,   Luxembourg,2017,
1019,   Malta,2017,
1020,   Netherlands,2017,
1021,   Poland,2017,
1022,   Portugal,2017,
1023,   Romania,2017,
1024,   Slovakia,2017,
1025,   Slovenia,2017,
1026,   Spain,2017,
1027,   Sweden,2017,
1028,   United Kingdom,2017,
1030,Japan,2017,7647.0
1031,Norway,2017,801.0
1032,Russian Federation,2017,5468.0
1033,Switzerland,2017,2904.0
1034,Tunisia,2017,546.0
1035,USA,2017,29491.0
